"CBC_Random1","CBC_Random2","CBC_Random3","CBC_Random4","CBC_Random5","CBC_Random6","CBC_Random7","CBC_Random8","Age","Gender","Sustainability","Experience","Education","University","Stakeholder","Stakeholder_6_other","Certificate","Degree","Tenure","Education_7_other"
2,2,3,3,3,3,2,1,25,1,4,2,4,2,5,"",2,3,2,NA
2,1,2,3,1,3,1,3,25,2,5,2,4,1,5,"",1,3,1,NA
2,1,1,1,1,1,3,2,25,2,5,2,4,1,5,"",1,3,1,NA
2,3,1,1,2,3,3,3,26,1,4,2,4,1,5,"",1,3,1,NA
2,3,1,3,1,3,2,2,24,1,5,2,4,1,5,"",1,3,1,NA
3,1,1,2,2,2,1,1,30,1,5,1,5,1,5,"",1,3,1,NA
1,3,1,2,1,1,3,1,25,1,4,2,5,1,5,"",1,3,2,NA
2,2,2,1,3,1,2,3,NA,1,4,1,5,1,5,"",2,3,1,NA
1,1,3,1,3,1,1,2,26,2,5,2,5,1,3,"",NA,NA,1,NA
3,1,1,1,2,1,3,2,26,1,5,2,4,1,5,"",1,3,2,NA
1,1,2,3,3,3,1,3,40,1,5,1,7,2,3,"",NA,NA,1,NA
2,2,1,3,1,2,2,1,21,1,5,1,2,1,5,"",2,2,1,NA
1,1,3,3,2,3,2,3,20,1,5,1,2,1,5,"",1,2,1,NA
2,2,3,1,3,1,1,2,28,2,5,1,5,1,3,"",NA,NA,1,NA
2,1,1,3,1,1,2,1,NA,1,5,1,2,1,5,"",1,2,1,NA
1,1,3,2,1,3,2,3,22,1,5,2,2,1,5,"",1,2,1,NA
1,3,2,3,1,3,2,2,26,1,5,2,4,1,5,"",1,3,2,NA
2,2,2,2,1,1,3,1,NA,2,4,2,2,1,5,"",2,2,1,NA
1,3,3,1,3,1,1,2,28,1,5,1,5,1,5,"",2,4,2,NA
1,1,1,2,3,1,1,1,35,1,5,1,7,1,3,"",NA,NA,3,NA
2,1,3,3,1,2,1,1,47,1,5,1,7,2,3,"",NA,NA,3,NA
3,1,3,3,3,3,3,1,22,1,4,1,2,1,5,"",1,2,1,NA
2,1,2,3,1,2,3,3,21,1,5,2,2,1,5,"",1,2,1,NA
3,3,2,2,2,1,1,1,48,1,5,1,7,2,2,"",NA,NA,3,NA
1,1,3,3,1,3,3,2,49,1,4,2,7,2,4,"",NA,NA,2,NA
3,2,1,2,1,2,3,3,25,1,5,1,4,1,5,"",2,3,2,NA
2,2,1,2,2,1,3,1,NA,1,5,1,5,2,3,"",NA,NA,2,NA
1,2,2,2,2,1,3,1,65,1,5,1,7,2,3,"",NA,NA,3,NA
2,2,2,2,2,3,3,2,52,1,5,2,7,2,3,"",NA,NA,3,NA
2,2,2,2,3,3,2,1,51,1,5,2,7,2,3,"",NA,NA,3,NA
1,3,3,2,1,1,1,3,36,2,4,2,6,2,4,"",NA,NA,1,NA
1,3,3,2,3,2,1,2,44,2,5,2,4,2,4,"",NA,NA,2,NA
1,1,3,3,3,2,2,2,38,2,5,2,7,1,3,"",NA,NA,1,NA
1,3,3,3,1,2,1,1,43,1,4,2,5,1,1,"",NA,NA,1,NA
1,1,1,1,3,1,1,1,53,2,5,1,8,2,3,"",NA,NA,3,NA
1,2,1,2,1,1,2,2,NA,1,4,2,7,1,3,"",NA,NA,3,NA
3,3,2,2,2,2,2,3,62,1,4,2,5,2,4,"",NA,NA,3,NA
2,1,1,2,3,2,2,2,30,1,5,1,5,1,3,"",NA,NA,1,NA
2,3,2,1,1,2,3,1,40,2,5,2,7,1,2,"",NA,NA,3,NA
2,1,2,3,1,1,3,1,NA,2,5,2,7,1,2,"",NA,NA,2,NA
1,3,3,3,1,1,3,1,29,1,5,1,5,1,3,"",NA,NA,1,NA
1,1,1,3,3,1,3,1,32,1,5,1,7,1,2,"",NA,NA,1,NA
1,1,2,2,1,2,1,2,30,1,5,1,5,1,4,"",NA,NA,2,NA
2,1,3,3,1,1,3,3,29,2,4,2,5,1,5,"",2,4,1,NA
2,2,2,2,1,1,2,2,35,1,5,2,7,1,3,"",NA,NA,2,NA
2,1,1,1,2,1,1,3,34,2,5,2,5,2,3,"",NA,NA,2,NA
3,2,3,2,2,3,2,2,34,2,5,2,7,2,3,"",NA,NA,1,NA
1,1,1,3,3,2,3,2,25,1,4,2,5,2,3,"",NA,NA,2,NA
3,3,1,2,2,3,3,2,28,2,4,2,5,2,3,"",NA,NA,1,NA
1,2,2,2,1,3,3,2,50,1,5,2,5,2,4,"",NA,NA,3,NA
3,3,2,3,1,1,3,1,40,2,5,1,5,1,4,"",NA,NA,1,NA
2,3,1,1,2,3,1,1,33,1,5,1,7,1,3,"",NA,NA,1,NA
1,2,2,2,2,2,1,2,29,1,5,1,5,1,3,"",NA,NA,1,NA
1,2,1,3,3,1,1,2,NA,1,5,1,7,2,3,"",NA,NA,3,NA
2,3,2,3,3,3,1,3,45,2,5,1,7,2,3,"",NA,NA,1,NA
2,2,3,1,3,2,1,1,29,1,4,2,5,2,3,"",NA,NA,1,NA
2,2,1,2,1,1,1,1,NA,2,5,2,7,2,6,"Post Doc",NA,NA,1,NA
2,2,1,3,1,3,1,3,37,2,4,1,5,1,1,"",NA,NA,3,NA
2,3,2,2,1,3,2,1,26,1,5,2,4,1,5,"",1,3,2,NA
2,2,2,2,2,2,2,2,58,1,5,1,7,1,1,"",NA,NA,3,NA
2,1,2,2,3,2,1,3,31,1,5,2,5,2,5,"",2,4,2,NA
3,2,1,3,1,2,3,3,30,2,5,1,5,1,3,"",NA,NA,2,NA
2,2,3,1,2,3,1,2,37,2,5,1,7,1,3,"",NA,NA,2,NA
3,3,2,3,3,1,2,2,18,2,4,2,2,2,5,"",2,2,1,NA
2,1,3,3,1,2,2,2,26,2,4,2,4,2,5,"",2,3,2,NA
1,2,2,3,1,1,1,1,20,1,4,2,2,2,5,"",2,2,1,NA
