"Variable","Category","Count","Percent"
"Setting","Exercise name",1,20
"Setting","Filtered respondent count",1,20
"Setting","Levels of analysis",1,20
"Setting","Respondent numbering",1,20
"Setting","Study Path",1,20
"Value","122",1,20
"Value","C:\Users\luise.schorm.BBDHOLDING\OneDrive - BBD Holding\Dokumente\Sawtooth Software\Lighthouse Studio\Studies\MasterThesisLuiseSchorm\MasterThesisLuiseSchorm.ssi",1,20
"Value","CBC",1,20
"Value","Main effects, Two-way",1,20
"Value","sys_RespNum",1,20
