"row","col","r","lwr","upr"
"Budget","Budget",1,1,1
"Budget","Business Model",-0.285126711680732,-0.296630805298096,-0.273034625917909
"Budget","Location",-0.357351621858046,-0.367688490614141,-0.347479233066244
"Budget","Synergy",-0.277986738344794,-0.288265650263034,-0.267045544425678
"Business Model","Budget",-0.285126711680732,-0.296630805298096,-0.273034625917909
"Business Model","Business Model",1,1,1
"Business Model","Location",-0.379976105249757,-0.390294736775224,-0.368714758833954
"Business Model","Synergy",-0.222351076812977,-0.234967813793669,-0.210390416375789
"Location","Budget",-0.357351621858046,-0.367688490614141,-0.347479233066244
"Location","Business Model",-0.379976105249757,-0.390294736775224,-0.368714758833954
"Location","Location",1,1,1
"Location","Synergy",-0.456837595532975,-0.467151591966341,-0.445731648705322
"Synergy","Budget",-0.277986738344794,-0.288265650263034,-0.267045544425678
"Synergy","Business Model",-0.222351076812977,-0.234967813793669,-0.210390416375789
"Synergy","Location",-0.456837595532975,-0.467151591966341,-0.445731648705322
"Synergy","Synergy",1,1,1
