"row","col","r","lwr","upr"
"Direct Investment","Direct Investment",1,1,1
"Direct Investment","Certificate NGO",-0.315645032226695,-0.330659943813289,-0.301115498407724
"Direct Investment","Certificate Company",-0.654461676434743,-0.66151993482453,-0.646941828178558
"Direct Investment","Regional",0.472015834108754,0.462939557349176,0.48130256889633
"Direct Investment","National",-0.284379729562643,-0.294148395016614,-0.27434392846666
"Direct Investment","International",-0.2403432476836,-0.251613786642303,-0.229332394981039
"Direct Investment","Yes",0.27812236790574,0.264352430951736,0.291579273907048
"Direct Investment","No",-0.27812236790574,-0.291579273907048,-0.264352430951736
"Direct Investment","User",0.255618936790792,0.242336998982405,0.268631834724442
"Direct Investment","Funding",-0.105116650936295,-0.117479033726426,-0.0930497983459966
"Direct Investment","Uni",-0.155163301009344,-0.16723334993423,-0.142419997185608
"Certificate NGO","Direct Investment",-0.315645032226695,-0.330659943813289,-0.301115498407724
"Certificate NGO","Certificate NGO",1,1,1
"Certificate NGO","Certificate Company",-0.510864004649505,-0.521302296367703,-0.500835296143572
"Certificate NGO","Regional",-0.174404632298096,-0.186688200449705,-0.162708010225334
"Certificate NGO","National",0.162028409002729,0.150569704451768,0.173918944318907
"Certificate NGO","International",0.0386376786927038,0.0258829630599603,0.0510919395514696
"Certificate NGO","Yes",0.275989221980974,0.260963653467453,0.291028096631176
"Certificate NGO","No",-0.275989221980974,-0.291028096631176,-0.260963653467453
"Certificate NGO","User",0.180383252637018,0.166007206204836,0.193797909264435
"Certificate NGO","Funding",-0.155058948967421,-0.165994503388971,-0.143294013236173
"Certificate NGO","Uni",-0.0206875023895462,-0.0334238156839964,-0.00737893518103859
"Certificate Company","Direct Investment",-0.654461676434743,-0.66151993482453,-0.646941828178558
"Certificate Company","Certificate NGO",-0.510864004649505,-0.521302296367703,-0.500835296143572
"Certificate Company","Certificate Company",1,1,1
"Certificate Company","Regional",-0.288664663656061,-0.299391570180174,-0.27805448480444
"Certificate Company","National",0.128532333121014,0.116704848987952,0.140438767409588
"Certificate Company","International",0.18695786752119,0.175407590462364,0.198281317653599
"Certificate Company","Yes",-0.471889466064382,-0.487512551909231,-0.454960818468807
"Certificate Company","No",0.471889466064382,0.454960818468807,0.487512551909231
"Certificate Company","User",-0.375320033713436,-0.389341479287938,-0.359675690816509
"Certificate Company","Funding",0.218789147933366,0.207050371895232,0.230102157781364
"Certificate Company","Uni",0.157058912302585,0.143651086542949,0.170293464534359
"Regional","Direct Investment",0.472015834108754,0.462939557349176,0.48130256889633
"Regional","Certificate NGO",-0.174404632298096,-0.186688200449705,-0.162708010225334
"Regional","Certificate Company",-0.288664663656061,-0.299391570180174,-0.27805448480444
"Regional","Regional",1,1,1
"Regional","National",-0.467928341617715,-0.476255731537964,-0.459045065806343
"Regional","International",-0.627702033207089,-0.634095368761584,-0.62111493858837
"Regional","Yes",0.184728871612901,0.172620202132579,0.197019632501241
"Regional","No",-0.184728871612901,-0.197019632501241,-0.172620202132579
"Regional","User",0.160476326598799,0.148090030289527,0.172332077690503
"Regional","Funding",-0.0665040439740611,-0.0771965248704986,-0.0543484377890035
"Regional","Uni",-0.0968482402732562,-0.107210592201874,-0.0851879378082087
"National","Direct Investment",-0.284379729562643,-0.294148395016614,-0.27434392846666
"National","Certificate NGO",0.162028409002729,0.150569704451768,0.173918944318907
"National","Certificate Company",0.128532333121014,0.116704848987952,0.140438767409588
"National","Regional",-0.467928341617715,-0.476255731537964,-0.459045065806343
"National","National",1,1,1
"National","International",-0.394251657082255,-0.403720565102199,-0.385162655329935
"National","Yes",-0.0433832767832286,-0.0552447124639003,-0.0315472999742278
"National","No",0.0433832767832286,0.0315472999742278,0.0552447124639003
"National","User",-0.0837105095864529,-0.0947695037395268,-0.0711649544847349
"National","Funding",0.0206503351354383,0.00898884168970606,0.0318087843359321
"National","Uni",0.0659363021767501,0.0547942321017167,0.0770310567056154
"International","Direct Investment",-0.2403432476836,-0.251613786642303,-0.229332394981039
"International","Certificate NGO",0.0386376786927038,0.0258829630599603,0.0510919395514696
"International","Certificate Company",0.18695786752119,0.175407590462364,0.198281317653599
"International","Regional",-0.627702033207089,-0.634095368761584,-0.62111493858837
"International","National",-0.394251657082255,-0.403720565102199,-0.385162655329935
"International","International",1,1,1
"International","Yes",-0.153880510458174,-0.166068835486539,-0.141792464098641
"International","No",0.153880510458174,0.141792464098641,0.166068835486539
"International","User",-0.0931393091368828,-0.104474809652707,-0.0814391553327482
"International","Funding",0.050966017433176,0.0393120110844403,0.0619244046401979
"International","Uni",0.0426305166685447,0.0306192215568695,0.0536346213913711
"Yes","Direct Investment",0.27812236790574,0.264352430951736,0.291579273907048
"Yes","Certificate NGO",0.275989221980974,0.260963653467453,0.291028096631176
"Yes","Certificate Company",-0.471889466064382,-0.487512551909231,-0.454960818468807
"Yes","Regional",0.184728871612901,0.172620202132579,0.197019632501241
"Yes","National",-0.0433832767832286,-0.0552447124639003,-0.0315472999742278
"Yes","International",-0.153880510458174,-0.166068835486539,-0.141792464098641
"Yes","Yes",1,1,1
"Yes","No",-1,-1,-1
"Yes","User",0.276040010059,0.258555524486123,0.29261456866047
"Yes","Funding",-0.095006093491508,-0.107302877696725,-0.0817583085665017
"Yes","Uni",-0.187881008394728,-0.200912761652918,-0.175203450434143
"No","Direct Investment",-0.27812236790574,-0.291579273907048,-0.264352430951736
"No","Certificate NGO",-0.275989221980974,-0.291028096631176,-0.260963653467453
"No","Certificate Company",0.471889466064382,0.454960818468807,0.487512551909231
"No","Regional",-0.184728871612901,-0.197019632501241,-0.172620202132579
"No","National",0.0433832767832286,0.0315472999742278,0.0552447124639003
"No","International",0.153880510458174,0.141792464098641,0.166068835486539
"No","Yes",-1,-1,-1
"No","No",1,1,1
"No","User",-0.276040010059,-0.29261456866047,-0.258555524486123
"No","Funding",0.095006093491508,0.0817583085665017,0.107302877696725
"No","Uni",0.187881008394728,0.175203450434143,0.200912761652918
"User","Direct Investment",0.255618936790792,0.242336998982405,0.268631834724442
"User","Certificate NGO",0.180383252637018,0.166007206204836,0.193797909264435
"User","Certificate Company",-0.375320033713436,-0.389341479287938,-0.359675690816509
"User","Regional",0.160476326598799,0.148090030289527,0.172332077690503
"User","National",-0.0837105095864529,-0.0947695037395268,-0.0711649544847349
"User","International",-0.0931393091368828,-0.104474809652707,-0.0814391553327482
"User","Yes",0.276040010059,0.258555524486123,0.29261456866047
"User","No",-0.276040010059,-0.29261456866047,-0.258555524486123
"User","User",1,1,1
"User","Funding",-0.570474829118969,-0.578785651986202,-0.562976760236462
"User","Uni",-0.432153590665746,-0.441837635133277,-0.420942356699986
"Funding","Direct Investment",-0.105116650936295,-0.117479033726426,-0.0930497983459966
"Funding","Certificate NGO",-0.155058948967421,-0.165994503388971,-0.143294013236173
"Funding","Certificate Company",0.218789147933366,0.207050371895232,0.230102157781364
"Funding","Regional",-0.0665040439740611,-0.0771965248704986,-0.0543484377890035
"Funding","National",0.0206503351354383,0.00898884168970606,0.0318087843359321
"Funding","International",0.050966017433176,0.0393120110844403,0.0619244046401979
"Funding","Yes",-0.095006093491508,-0.107302877696725,-0.0817583085665017
"Funding","No",0.095006093491508,0.0817583085665017,0.107302877696725
"Funding","User",-0.570474829118969,-0.578785651986202,-0.562976760236462
"Funding","Funding",1,1,1
"Funding","Uni",-0.494129213652316,-0.50396112690896,-0.484140285771535
"Uni","Direct Investment",-0.155163301009344,-0.16723334993423,-0.142419997185608
"Uni","Certificate NGO",-0.0206875023895462,-0.0334238156839964,-0.00737893518103859
"Uni","Certificate Company",0.157058912302585,0.143651086542949,0.170293464534359
"Uni","Regional",-0.0968482402732562,-0.107210592201874,-0.0851879378082087
"Uni","National",0.0659363021767501,0.0547942321017167,0.0770310567056154
"Uni","International",0.0426305166685447,0.0306192215568695,0.0536346213913711
"Uni","Yes",-0.187881008394728,-0.200912761652918,-0.175203450434143
"Uni","No",0.187881008394728,0.175203450434143,0.200912761652918
"Uni","User",-0.432153590665746,-0.441837635133277,-0.420942356699986
"Uni","Funding",-0.494129213652316,-0.50396112690896,-0.484140285771535
"Uni","Uni",1,1,1
