"row","col","r","lwr","upr"
"Certificate NGO","Certificate NGO",1,1,1
"Certificate NGO","Certificate Company",-0.421023927357176,-0.48043676027042,0.192413189236387
"Certificate NGO","Regional",0.133806933311384,-0.349266102011094,0.426467039981092
"Certificate NGO","National",0.144204860443836,-0.187994706699792,0.498409173899853
"Certificate NGO","No",-0.320880106368984,-0.474278306404098,0.107275252864665
"Certificate NGO","Uni",0.292703118172239,-0.093617668461451,0.523131479922837
"Certificate NGO","User",0.293986604852325,-0.243297806381484,0.391766240712013
"Certificate Company","Certificate NGO",-0.421023927357176,-0.48043676027042,0.192413189236387
"Certificate Company","Certificate Company",1,1,1
"Certificate Company","Regional",-0.058496148454126,-0.307776835806761,0.418766831234043
"Certificate Company","National",0.104051758208894,-0.323448585583677,0.384818371940036
"Certificate Company","No",0.097657287637823,-0.195446190076265,0.458447896465317
"Certificate Company","Uni",-0.0584774934481581,-0.437523999620085,0.204321616904796
"Certificate Company","User",-0.434198710177882,-0.505538874783799,0.130641404973981
"Regional","Certificate NGO",0.133806933311384,-0.349266102011094,0.426467039981092
"Regional","Certificate Company",-0.058496148454126,-0.307776835806761,0.418766831234043
"Regional","Regional",1,1,1
"Regional","National",-0.243942443384347,-0.542541292634311,0.14123284386068
"Regional","No",-0.195733456911682,-0.449723188709702,0.265812982413131
"Regional","Uni",-0.281270960995102,-0.487857101347893,0.248599703943014
"Regional","User",0.354110215743382,-0.288693206912729,0.451084476865818
"National","Certificate NGO",0.144204860443836,-0.187994706699792,0.498409173899852
"National","Certificate Company",0.104051758208894,-0.323448585583677,0.384818371940036
"National","Regional",-0.243942443384347,-0.542541292634311,0.14123284386068
"National","National",1,1,1
"National","No",-0.142549712635624,-0.416833932916902,0.271624929256398
"National","Uni",0.283031280120702,-0.219128483510724,0.461260858212027
"National","User",-0.106585189297977,-0.423729501468251,0.28232002744757
"No","Certificate NGO",-0.320880106368985,-0.474278306404098,0.107275252864665
"No","Certificate Company",0.097657287637823,-0.195446190076265,0.458447896465317
"No","Regional",-0.195733456911682,-0.449723188709702,0.265812982413131
"No","National",-0.142549712635624,-0.416833932916902,0.271624929256398
"No","No",1,1,1
"No","Uni",-0.00463144880283884,-0.295236707803027,0.338353891769203
"No","User",-0.0575061004417334,-0.203348898693116,0.437459197973524
"Uni","Certificate NGO",0.292703118172239,-0.093617668461451,0.523131479922837
"Uni","Certificate Company",-0.0584774934481581,-0.437523999620085,0.204321616904796
"Uni","Regional",-0.281270960995102,-0.487857101347893,0.248599703943014
"Uni","National",0.283031280120702,-0.219128483510724,0.461260858212027
"Uni","No",-0.00463144880283884,-0.295236707803027,0.338353891769203
"Uni","Uni",1,1,1
"Uni","User",-0.485229037693623,-0.674252490414592,-0.125186901236345
"User","Certificate NGO",0.293986604852325,-0.243297806381484,0.391766240712013
"User","Certificate Company",-0.434198710177882,-0.5055388747838,0.130641404973981
"User","Regional",0.354110215743382,-0.288693206912729,0.451084476865819
"User","National",-0.106585189297977,-0.423729501468251,0.28232002744757
"User","No",-0.0575061004417334,-0.203348898693116,0.437459197973524
"User","Uni",-0.485229037693623,-0.674252490414592,-0.125186901236345
"User","User",1,1,1
