Parameter_global,Attribute,mean,lower,upper,Parameter,order_within,attr_index
Direct Investment,Business Model,0.5835475461046106,-2.4783512857,3.7858999201174983,Direct Investment,1,1
Certificate NGO,Business Model,0.5514286245947086,-2.0441611473825003,3.2056214189399963,Certificate NGO,2,1
Certificate Company,Business Model,-1.1349761706994126,-3.2754553391575,0.9265204638300001,Certificate Company,3,1
Regional,Location,0.2778427504959087,-1.3223673659025,1.8456850519699994,Regional,1,2
National,Location,0.02773573325469235,-1.3989494556975,1.4741219690499991,National,2,2
International,Location,-0.30557848375058305,-2.2184384190199995,1.5923254318,International,3,2
Yes,Synergy,0.9518375242598378,-0.8000418414849999,2.8934750879174995,Yes,1,3
No,Synergy,-0.9518375242598378,-2.8934750879175,0.8000418414849961,No,2,3
User,Budget,0.7442916938414129,-1.73889706855,3.387867786057491,User,1,4
Uni,Budget,-0.3446587353534041,-2.5550065797475,1.8329123927849973,Uni,2,4
Funding,Budget,-0.3996329584879906,-2.904468407855,2.1968782575849986,Funding,3,4
