Respondent,label,utility,group
1,Certificate NGO,2.46615799367041,Business Model
1,Certificate Company,-1.65347412042367,Business Model
1,Direct Investment,-0.812683873246744,Business Model
1,Regional,0.250462259757778,Location
1,National,0.00222319117846286,Location
1,International,-0.252685450936244,Location
1,No,-0.993952556025957,Synergy
1,Yes,0.993952556025957,Synergy
1,Uni,0.0357415597090114,Budget
1,User,0.242626114846956,Budget
1,Funding,-0.27836767455597,Budget
4,Certificate NGO,1.79696772992115,Business Model
4,Certificate Company,-0.987610015098931,Business Model
4,Direct Investment,-0.809357714822194,Business Model
4,Regional,-0.0105592457051711,Location
4,National,0.436072522847233,Location
4,International,-0.425513277142064,Location
4,No,-1.1025889601403,Synergy
4,Yes,1.1025889601403,Synergy
4,Uni,0.735308781114104,Budget
4,User,-1.2870927873023,Budget
4,Funding,0.551784006188213,Budget
7,Certificate NGO,1.37493275546938,Business Model
7,Certificate Company,-2.09587868124742,Business Model
7,Direct Investment,0.720945925778045,Business Model
7,Regional,0.468127197795814,Location
7,National,-0.192724976933136,Location
7,International,-0.275402220862681,Location
7,No,-1.44788652536001,Synergy
7,Yes,1.44788652536001,Synergy
7,Uni,-1.06374141238477,Budget
7,User,1.93591999395106,Budget
7,Funding,-0.872178581566263,Budget
9,Certificate NGO,0.0584483986026676,Business Model
9,Certificate Company,-1.45194708940718,Business Model
9,Direct Investment,1.39349869080452,Business Model
9,Regional,0.0914443328973105,Location
9,National,0.581922472798682,Location
9,International,-0.673366805695988,Location
9,No,-1.66793950772396,Synergy
9,Yes,1.66793950772396,Synergy
9,Uni,-0.943908127684454,Budget
9,User,1.15307292454834,Budget
9,Funding,-0.209164796863872,Budget
17,Certificate NGO,-1.14939043258105,Business Model
17,Certificate Company,-2.05306222017812,Business Model
17,Direct Investment,3.20245265275918,Business Model
17,Regional,-0.144421705690631,Location
17,National,0.0220850841062867,Location
17,International,0.122336621584345,Location
17,No,-0.608127382373614,Synergy
17,Yes,0.608127382373614,Synergy
17,Uni,-0.125590419948077,Budget
17,User,0.688922314173627,Budget
17,Funding,-0.563331894225554,Budget
19,Certificate NGO,1.85860446115719,Business Model
19,Certificate Company,-1.76816922414321,Business Model
19,Direct Investment,-0.0904352370139912,Business Model
19,Regional,0.104298014061709,Location
19,National,0.0250851243256954,Location
19,International,-0.129383138387406,Location
